Date,AverageTemperature,AverageTemperatureUncertainty,State,Country
1948-05-01,25.751,0.404,Acre,Brazil
1948-06-01,25.188,0.357,Acre,Brazil
1948-07-01,25.366,0.546,Acre,Brazil
1948-08-01,25.775,0.362,Acre,Brazil
1948-09-01,26.55,0.568,Acre,Brazil
1948-10-01,26.277,0.624,Acre,Brazil
1948-11-01,26.419,0.484,Acre,Brazil
1948-12-01,26.197,0.652,Acre,Brazil
1949-01-01,25.994,0.729,Acre,Brazil
1949-02-01,25.888,0.438,Acre,Brazil
1949-03-01,25.888,1.125,Acre,Brazil
1949-04-01,25.586,0.621,Acre,Brazil
1949-05-01,25.426,0.51,Acre,Brazil
1949-06-01,25.317,0.528,Acre,Brazil
1949-07-01,24.377,0.859,Acre,Brazil
1949-08-01,25.649,0.375,Acre,Brazil
1949-09-01,26.593,0.343,Acre,Brazil
1949-10-01,26.031,0.415,Acre,Brazil
1949-11-01,26.623,0.32,Acre,Brazil
1949-12-01,26.183,0.286,Acre,Brazil
1950-01-01,25.906,0.347,Acre,Brazil
1950-02-01,25.973,0.268,Acre,Brazil
1950-03-01,25.759,0.495,Acre,Brazil
1950-04-01,25.81,0.484,Acre,Brazil
1950-05-01,25.61,0.42,Acre,Brazil
1950-06-01,25.16,0.424,Acre,Brazil
1950-07-01,24.571,0.359,Acre,Brazil
1950-08-01,25.429,0.63,Acre,Brazil
1950-09-01,26.841,0.535,Acre,Brazil
1950-10-01,26.067,0.257,Acre,Brazil
1950-11-01,26.261,0.31,Acre,Brazil
1950-12-01,25.657,0.312,Acre,Brazil
1951-01-01,25.585,0.376,Acre,Brazil
1951-02-01,25.442,0.479,Acre,Brazil
1951-03-01,26.154,0.355,Acre,Brazil
1951-04-01,25.304,0.453,Acre,Brazil
1951-05-01,25.707,0.543,Acre,Brazil
1951-06-01,24.75,0.549,Acre,Brazil
1951-07-01,24.817,0.342,Acre,Brazil
1951-08-01,25.502,0.745,Acre,Brazil
1951-09-01,26.759,0.696,Acre,Brazil
1951-10-01,26.525,0.325,Acre,Brazil
1951-11-01,26.311,0.416,Acre,Brazil
1951-12-01,26.337,0.258,Acre,Brazil
1952-01-01,26.149,0.295,Acre,Brazil
1952-02-01,26.322,0.527,Acre,Brazil
1952-03-01,26.801,0.329,Acre,Brazil
1952-04-01,25.608,0.485,Acre,Brazil
1952-05-01,25.55,0.478,Acre,Brazil
1952-06-01,23.698,0.883,Acre,Brazil
1952-07-01,24.404,0.894,Acre,Brazil
1952-08-01,25.572,0.836,Acre,Brazil
1952-09-01,25.66,0.841,Acre,Brazil
1952-10-01,26.594,0.287,Acre,Brazil
1952-11-01,26.139,0.255,Acre,Brazil
1952-12-01,25.915,0.747,Acre,Brazil
1953-01-01,25.589,0.518,Acre,Brazil
1953-02-01,25.965,0.36,Acre,Brazil
1953-03-01,25.874,0.784,Acre,Brazil
1953-04-01,25.768,0.38,Acre,Brazil
1953-05-01,25.595,0.712,Acre,Brazil
1953-06-01,24.923,0.631,Acre,Brazil
1953-07-01,23.846,1.22,Acre,Brazil
1953-08-01,26.369,0.625,Acre,Brazil
1953-09-01,27.282,0.268,Acre,Brazil
1953-10-01,26.404,0.434,Acre,Brazil
1953-11-01,26.132,0.446,Acre,Brazil
1953-12-01,26.074,0.397,Acre,Brazil
1954-01-01,25.724,0.427,Acre,Brazil
1954-02-01,25.999,0.638,Acre,Brazil
1954-03-01,25.967,0.411,Acre,Brazil
1954-04-01,26.277,0.408,Acre,Brazil
1954-05-01,25.311,0.462,Acre,Brazil
1954-06-01,25.411,0.527,Acre,Brazil
1954-07-01,24.654,0.523,Acre,Brazil
1954-08-01,26.598,0.901,Acre,Brazil
1954-09-01,26.935,0.487,Acre,Brazil
1954-10-01,26.026,0.522,Acre,Brazil
1954-11-01,26.284,0.876,Acre,Brazil
1954-12-01,25.905,0.295,Acre,Brazil
1955-01-01,25.664,0.598,Acre,Brazil
1955-02-01,25.802,0.464,Acre,Brazil
1955-03-01,25.938,0.434,Acre,Brazil
1955-04-01,25.734,0.189,Acre,Brazil
1955-05-01,25.322,0.487,Acre,Brazil
1955-06-01,25.356,0.215,Acre,Brazil
1955-07-01,24.3,0.301,Acre,Brazil
1955-08-01,25.844,0.309,Acre,Brazil
1955-09-01,26.582,0.276,Acre,Brazil
1955-10-01,26.913,0.32,Acre,Brazil
1955-11-01,26.846,0.685,Acre,Brazil
1955-12-01,25.79,0.49,Acre,Brazil
1956-01-01,25.406,0.377,Acre,Brazil
1956-02-01,25.582,0.32,Acre,Brazil
1956-03-01,26.28,0.37,Acre,Brazil
1956-04-01,25.773,0.84,Acre,Brazil
1956-05-01,24.93,0.661,Acre,Brazil
1956-06-01,24.464,0.432,Acre,Brazil
1956-07-01,25.056,0.627,Acre,Brazil
1956-08-01,25.242,0.544,Acre,Brazil
1956-09-01,26.619,0.631,Acre,Brazil
1956-10-01,25.969,0.331,Acre,Brazil
1956-11-01,26.362,0.515,Acre,Brazil
1956-12-01,26.409,0.45,Acre,Brazil
1957-01-01,26.014,0.539,Acre,Brazil
1957-02-01,26.029,0.283,Acre,Brazil
1957-03-01,26.372,0.431,Acre,Brazil
1957-04-01,25.374,0.485,Acre,Brazil
1957-05-01,26.601,0.976,Acre,Brazil
1957-06-01,24.82,0.374,Acre,Brazil
1957-07-01,24.174,0.576,Acre,Brazil
1957-08-01,25.919,1.104,Acre,Brazil
1957-09-01,26.496,0.533,Acre,Brazil
1957-10-01,26.4,0.624,Acre,Brazil
1957-11-01,26.101,0.384,Acre,Brazil
1957-12-01,26.413,0.293,Acre,Brazil
1958-01-01,26.378,0.3,Acre,Brazil
1958-02-01,26.559,0.468,Acre,Brazil
1958-03-01,26.482,0.235,Acre,Brazil
1958-04-01,25.985,0.346,Acre,Brazil
1958-05-01,25.371,0.311,Acre,Brazil
1958-06-01,25.892,0.535,Acre,Brazil
1958-07-01,26.297,0.598,Acre,Brazil
1958-08-01,24.903,0.938,Acre,Brazil
1958-09-01,27.843,0.928,Acre,Brazil
1958-10-01,26.459,0.758,Acre,Brazil
1958-11-01,26.115,0.329,Acre,Brazil
1958-12-01,26.744,0.474,Acre,Brazil
1959-01-01,26.711,0.325,Acre,Brazil
1959-02-01,25.782,0.802,Acre,Brazil
1959-03-01,26.188,0.299,Acre,Brazil
1959-04-01,25.8,0.656,Acre,Brazil
1959-05-01,25.453,0.326,Acre,Brazil
1959-06-01,25.512,0.449,Acre,Brazil
1959-07-01,26.162,0.646,Acre,Brazil
1959-08-01,26.596,0.714,Acre,Brazil
1959-09-01,27.034,0.643,Acre,Brazil
1959-10-01,26.709,0.313,Acre,Brazil
1959-11-01,26.621,0.346,Acre,Brazil
1959-12-01,26.187,0.215,Acre,Brazil
1960-01-01,26.454,0.337,Acre,Brazil
1960-02-01,26.157,0.445,Acre,Brazil
1960-03-01,26.418,0.316,Acre,Brazil
1960-04-01,25.393,0.298,Acre,Brazil
1960-05-01,24.852,0.278,Acre,Brazil
1960-06-01,25.177,0.459,Acre,Brazil
1960-07-01,25.565,0.521,Acre,Brazil
1960-08-01,25.286,1.332,Acre,Brazil
1960-09-01,26.568,0.231,Acre,Brazil
1960-10-01,26.439,0.332,Acre,Brazil
1960-11-01,26.343,0.347,Acre,Brazil
1960-12-01,26.609,0.388,Acre,Brazil
1961-01-01,26.478,0.252,Acre,Brazil
1961-02-01,25.891,0.308,Acre,Brazil
1961-03-01,26.45,0.638,Acre,Brazil
1961-04-01,26.222,0.408,Acre,Brazil
1961-05-01,25.929,0.344,Acre,Brazil
1961-06-01,23.92,0.945,Acre,Brazil
1961-07-01,25.325,0.524,Acre,Brazil
1961-08-01,27.203,0.856,Acre,Brazil
1961-09-01,27.426,0.212,Acre,Brazil
1961-10-01,27.139,0.484,Acre,Brazil
1961-11-01,26.509,0.274,Acre,Brazil
1961-12-01,26.113,0.353,Acre,Brazil
1962-01-01,26.283,0.225,Acre,Brazil
1962-02-01,25.934,0.307,Acre,Brazil
1962-03-01,26.163,0.255,Acre,Brazil
1962-04-01,25.043,0.823,Acre,Brazil
1962-05-01,25.386,0.32,Acre,Brazil
1962-06-01,24.609,0.934,Acre,Brazil
1962-07-01,23.505,0.972,Acre,Brazil
1962-08-01,26.753,1.19,Acre,Brazil
1962-09-01,27.456,0.427,Acre,Brazil
1962-10-01,26.334,0.38,Acre,Brazil
1962-11-01,27.585,0.369,Acre,Brazil
1962-12-01,26.431,0.471,Acre,Brazil
1963-01-01,26.037,0.315,Acre,Brazil
1963-02-01,25.659,0.341,Acre,Brazil
1963-03-01,25.506,0.467,Acre,Brazil
1963-04-01,26.019,0.366,Acre,Brazil
1963-05-01,25.675,0.422,Acre,Brazil
1963-06-01,25.097,0.36,Acre,Brazil
1963-07-01,25.382,0.531,Acre,Brazil
1963-08-01,27.432,0.683,Acre,Brazil
1963-09-01,27.706,0.4,Acre,Brazil
1963-10-01,27.393,0.205,Acre,Brazil
1963-11-01,26.658,0.486,Acre,Brazil
1963-12-01,26.707,0.346,Acre,Brazil
1964-01-01,26.991,0.292,Acre,Brazil
1964-02-01,26.839,0.519,Acre,Brazil
1964-03-01,25.869,0.319,Acre,Brazil
1964-04-01,26.093,0.308,Acre,Brazil
1964-05-01,25.384,0.289,Acre,Brazil
1964-06-01,24.858,0.347,Acre,Brazil
1964-07-01,24.439,0.534,Acre,Brazil
1964-08-01,26.593,0.37,Acre,Brazil
1964-09-01,26.739,0.298,Acre,Brazil
1964-10-01,26.051,0.505,Acre,Brazil
1964-11-01,26.006,0.198,Acre,Brazil
1964-12-01,25.914,0.422,Acre,Brazil
1965-01-01,26.214,0.256,Acre,Brazil
1965-02-01,26.215,0.21,Acre,Brazil
1965-03-01,25.587,0.41,Acre,Brazil
1965-04-01,25.555,0.284,Acre,Brazil
1965-05-01,25.768,0.629,Acre,Brazil
1965-06-01,25.518,0.389,Acre,Brazil
1965-07-01,24.697,0.638,Acre,Brazil
1965-08-01,26.082,0.577,Acre,Brazil
1965-09-01,26.517,0.413,Acre,Brazil
1965-10-01,27.296,0.307,Acre,Brazil
1965-11-01,26.504,0.621,Acre,Brazil
1965-12-01,26.005,0.42,Acre,Brazil
1966-01-01,26.727,0.252,Acre,Brazil
1966-02-01,26.712,0.273,Acre,Brazil
1966-03-01,26.593,0.367,Acre,Brazil
1966-04-01,26.561,0.346,Acre,Brazil
1966-05-01,25.643,0.361,Acre,Brazil
1966-06-01,25.665,0.596,Acre,Brazil
1966-07-01,24.711,0.779,Acre,Brazil
1966-08-01,25.233,0.857,Acre,Brazil
1966-09-01,26.686,0.367,Acre,Brazil
1966-10-01,26.619,0.381,Acre,Brazil
1966-11-01,26.637,0.285,Acre,Brazil
1966-12-01,26.252,0.261,Acre,Brazil
1967-01-01,26.272,0.182,Acre,Brazil
1967-02-01,25.858,0.276,Acre,Brazil
1967-03-01,25.606,0.311,Acre,Brazil
1967-04-01,25.827,0.402,Acre,Brazil
1967-05-01,26.58,0.316,Acre,Brazil
1967-06-01,24.651,0.361,Acre,Brazil
1967-07-01,25.052,0.888,Acre,Brazil
1967-08-01,26.843,0.682,Acre,Brazil
1967-09-01,27.426,0.764,Acre,Brazil
1967-10-01,26.484,0.449,Acre,Brazil
1967-11-01,26.636,0.496,Acre,Brazil
1967-12-01,26.457,0.237,Acre,Brazil
1968-01-01,26.16,0.437,Acre,Brazil
1968-02-01,26.262,0.424,Acre,Brazil
1968-03-01,26.185,0.701,Acre,Brazil
1968-04-01,25.678,0.576,Acre,Brazil
1968-05-01,25.4,0.418,Acre,Brazil
1968-06-01,25.621,0.384,Acre,Brazil
1968-07-01,25.605,0.427,Acre,Brazil
1968-08-01,26.042,0.273,Acre,Brazil
1968-09-01,26.29,0.215,Acre,Brazil
1968-10-01,26.603,0.391,Acre,Brazil
1968-11-01,27.121,0.385,Acre,Brazil
1968-12-01,26.483,0.214,Acre,Brazil
1969-01-01,26.275,0.392,Acre,Brazil
1969-02-01,26.562,0.595,Acre,Brazil
1969-03-01,26.996,0.499,Acre,Brazil
1969-04-01,26.512,0.282,Acre,Brazil
1969-05-01,27.034,0.829,Acre,Brazil
1969-06-01,25.267,0.357,Acre,Brazil
1969-07-01,25.403,0.728,Acre,Brazil
1969-08-01,26.276,0.242,Acre,Brazil
1969-09-01,27.376,0.293,Acre,Brazil
1969-10-01,26.887,0.415,Acre,Brazil
1969-11-01,27.33,0.521,Acre,Brazil
1969-12-01,26.958,1.375,Acre,Brazil
1970-01-01,26.363,0.382,Acre,Brazil
1970-02-01,26.28,0.472,Acre,Brazil
1970-03-01,25.825,0.285,Acre,Brazil
1970-04-01,26.12,0.306,Acre,Brazil
1970-05-01,26.447,1.218,Acre,Brazil
1970-06-01,25.073,1.332,Acre,Brazil
1970-07-01,24.961,0.624,Acre,Brazil
1970-08-01,26.495,0.511,Acre,Brazil
1970-09-01,26.735,0.723,Acre,Brazil
1970-10-01,27.167,0.514,Acre,Brazil
1970-11-01,27.024,0.262,Acre,Brazil
1970-12-01,25.446,1.407,Acre,Brazil
1971-01-01,25.842,0.266,Acre,Brazil
1971-02-01,25.325,0.42,Acre,Brazil
1971-03-01,25.866,0.164,Acre,Brazil
1971-04-01,25.312,0.191,Acre,Brazil
1971-05-01,24.859,0.547,Acre,Brazil
1971-06-01,24.557,0.279,Acre,Brazil
1971-07-01,25.48,0.332,Acre,Brazil
1971-08-01,26.563,1.151,Acre,Brazil
1971-09-01,26.974,0.379,Acre,Brazil
1971-10-01,25.981,0.224,Acre,Brazil
1971-11-01,26.635,0.294,Acre,Brazil
1971-12-01,26.213,0.275,Acre,Brazil
1972-01-01,26.165,0.98,Acre,Brazil
1972-02-01,26.556,0.923,Acre,Brazil
1972-03-01,25.885,0.787,Acre,Brazil
1972-04-01,25.477,0.429,Acre,Brazil
1972-05-01,26.377,0.258,Acre,Brazil
1972-06-01,25.949,0.6,Acre,Brazil
1972-07-01,25.09,0.303,Acre,Brazil
1972-08-01,25.614,0.264,Acre,Brazil
1972-09-01,26.595,0.461,Acre,Brazil
1972-10-01,26.585,0.419,Acre,Brazil
1972-11-01,27.064,0.637,Acre,Brazil
1972-12-01,26.611,0.236,Acre,Brazil
1973-01-01,26.419,0.421,Acre,Brazil
1973-02-01,26.573,0.478,Acre,Brazil
1973-03-01,26.907,0.675,Acre,Brazil
1973-04-01,26.174,0.358,Acre,Brazil
1973-05-01,25.629,0.464,Acre,Brazil
1973-06-01,25.64,0.256,Acre,Brazil
1973-07-01,24.409,0.295,Acre,Brazil
1973-08-01,25.252,0.414,Acre,Brazil
1973-09-01,26.54,0.302,Acre,Brazil
1973-10-01,26.896,0.334,Acre,Brazil
1973-11-01,26.171,0.302,Acre,Brazil
1973-12-01,25.922,0.533,Acre,Brazil
1974-01-01,25.713,0.518,Acre,Brazil
1974-02-01,25.405,0.419,Acre,Brazil
1974-03-01,26.18,0.469,Acre,Brazil
1974-04-01,25.291,0.161,Acre,Brazil
1974-05-01,25.741,0.211,Acre,Brazil
1974-06-01,24.721,0.26,Acre,Brazil
1974-07-01,24.714,0.492,Acre,Brazil
1974-08-01,25.492,0.521,Acre,Brazil
1974-09-01,26.027,0.677,Acre,Brazil
1974-10-01,26.016,0.502,Acre,Brazil
1974-11-01,27.021,0.841,Acre,Brazil
1974-12-01,25.928,0.704,Acre,Brazil
1975-01-01,25.632,0.318,Acre,Brazil
1975-02-01,25.811,0.663,Acre,Brazil
1975-03-01,26.057,0.593,Acre,Brazil
1975-04-01,26.084,0.442,Acre,Brazil
1975-05-01,25.444,0.564,Acre,Brazil
1975-06-01,25.164,0.491,Acre,Brazil
1975-07-01,24.147,0.8,Acre,Brazil
1975-08-01,25.532,0.638,Acre,Brazil
1975-09-01,26.384,0.315,Acre,Brazil
1975-10-01,26.675,0.182,Acre,Brazil
1975-11-01,26.435,0.371,Acre,Brazil
1975-12-01,25.74,0.439,Acre,Brazil
1976-01-01,25.302,0.594,Acre,Brazil
1976-02-01,25.845,0.393,Acre,Brazil
1976-03-01,25.529,0.255,Acre,Brazil
1976-04-01,25.411,0.351,Acre,Brazil
1976-05-01,25.383,0.523,Acre,Brazil
1976-06-01,24.432,0.451,Acre,Brazil
1976-07-01,24.887,0.443,Acre,Brazil
1976-08-01,26.068,0.405,Acre,Brazil
1976-09-01,25.86,0.28,Acre,Brazil
1976-10-01,26.569,0.826,Acre,Brazil
1976-11-01,26.327,0.194,Acre,Brazil
1976-12-01,26.157,0.255,Acre,Brazil
1977-01-01,26.588,0.247,Acre,Brazil
1977-02-01,25.901,0.391,Acre,Brazil
1977-03-01,26.204,0.18,Acre,Brazil
1977-04-01,25.823,0.505,Acre,Brazil
1977-05-01,25.155,0.268,Acre,Brazil
1977-06-01,24.812,0.51,Acre,Brazil
1977-07-01,26.079,0.276,Acre,Brazil
1977-08-01,26.278,0.406,Acre,Brazil
1977-09-01,26.613,0.383,Acre,Brazil
1977-10-01,26.228,0.278,Acre,Brazil
1977-11-01,26.34,0.28,Acre,Brazil
1977-12-01,26.343,0.254,Acre,Brazil
1978-01-01,25.984,0.213,Acre,Brazil
1978-02-01,26.766,0.222,Acre,Brazil
1978-03-01,26.406,0.292,Acre,Brazil
1978-04-01,25.975,0.232,Acre,Brazil
1978-05-01,25.554,0.283,Acre,Brazil
1978-06-01,25.289,0.262,Acre,Brazil
1978-07-01,25.781,0.486,Acre,Brazil
1978-08-01,25.091,0.436,Acre,Brazil
1978-09-01,26.363,0.353,Acre,Brazil
1978-10-01,26.506,0.279,Acre,Brazil
1978-11-01,26.543,0.229,Acre,Brazil
1978-12-01,25.702,0.318,Acre,Brazil
1979-01-01,26.429,0.254,Acre,Brazil
1979-02-01,26.17,0.255,Acre,Brazil
1979-03-01,25.939,0.138,Acre,Brazil
1979-04-01,25.677,0.61,Acre,Brazil
1979-05-01,25.916,0.409,Acre,Brazil
1979-06-01,24.354,0.337,Acre,Brazil
1979-07-01,25.222,0.29,Acre,Brazil
1979-08-01,26.87,0.412,Acre,Brazil
1979-09-01,26.726,0.348,Acre,Brazil
1979-10-01,27.011,0.378,Acre,Brazil
1979-11-01,26.612,0.359,Acre,Brazil
1979-12-01,26.266,0.254,Acre,Brazil
1980-01-01,26.652,0.19,Acre,Brazil
1980-02-01,26.495,0.495,Acre,Brazil
1980-03-01,26.27,0.236,Acre,Brazil
1980-04-01,26.43,0.201,Acre,Brazil
1980-05-01,25.802,0.882,Acre,Brazil
1980-06-01,24.801,0.645,Acre,Brazil
1980-07-01,24.935,0.318,Acre,Brazil
1980-08-01,26.257,0.329,Acre,Brazil
1980-09-01,26.283,0.389,Acre,Brazil
1980-10-01,26.222,0.099,Acre,Brazil
1980-11-01,26.39,0.256,Acre,Brazil
1980-12-01,26.568,0.227,Acre,Brazil
1981-01-01,26.076,0.237,Acre,Brazil
1981-02-01,25.635,0.383,Acre,Brazil
1981-03-01,26.244,0.348,Acre,Brazil
1981-04-01,26.038,0.211,Acre,Brazil
1981-05-01,26.463,0.353,Acre,Brazil
1981-06-01,24.775,0.413,Acre,Brazil
1981-07-01,24.485,0.168,Acre,Brazil
1981-08-01,26.121,0.228,Acre,Brazil
1981-09-01,25.955,0.293,Acre,Brazil
1981-10-01,26.822,0.604,Acre,Brazil
1981-11-01,26.661,0.389,Acre,Brazil
1981-12-01,26.273,0.349,Acre,Brazil
1982-01-01,25.921,0.282,Acre,Brazil
1982-02-01,26.15,0.429,Acre,Brazil
1982-03-01,26.452,0.506,Acre,Brazil
1982-04-01,25.932,0.595,Acre,Brazil
1982-05-01,25.752,0.441,Acre,Brazil
1982-06-01,25.597,0.979,Acre,Brazil
1982-07-01,25.832,0.3,Acre,Brazil
1982-08-01,26.176,0.347,Acre,Brazil
1982-09-01,26.659,0.513,Acre,Brazil
1982-10-01,26.85,0.609,Acre,Brazil
1982-11-01,26.501,0.477,Acre,Brazil
1982-12-01,26.661,0.57,Acre,Brazil
1983-01-01,27.461,0.386,Acre,Brazil
1983-02-01,26.982,0.853,Acre,Brazil
1983-03-01,27.08,0.294,Acre,Brazil
1983-04-01,27.002,0.288,Acre,Brazil
1983-05-01,26.833,0.5,Acre,Brazil
1983-06-01,24.182,0.669,Acre,Brazil
1983-07-01,25.509,0.262,Acre,Brazil
1983-08-01,26.173,0.543,Acre,Brazil
1983-09-01,26.87,0.36,Acre,Brazil
1983-10-01,26.637,0.294,Acre,Brazil
1983-11-01,26.668,0.385,Acre,Brazil
1983-12-01,26.391,0.303,Acre,Brazil
1984-01-01,25.772,0.297,Acre,Brazil
1984-02-01,25.677,0.263,Acre,Brazil
1984-03-01,26.275,0.448,Acre,Brazil
1984-04-01,25.825,0.337,Acre,Brazil
1984-05-01,26.64,0.351,Acre,Brazil
1984-06-01,25.242,0.316,Acre,Brazil
1984-07-01,25.86,0.627,Acre,Brazil
1984-08-01,25.666,0.359,Acre,Brazil
1984-09-01,27.107,0.384,Acre,Brazil
1984-10-01,27.608,1.452,Acre,Brazil
1984-11-01,26.124,0.602,Acre,Brazil
1984-12-01,26.498,0.238,Acre,Brazil
1985-01-01,26.438,0.243,Acre,Brazil
1985-02-01,26.13,0.298,Acre,Brazil
1985-03-01,26.535,0.78,Acre,Brazil
1985-04-01,26.046,0.576,Acre,Brazil
1985-05-01,26.162,0.329,Acre,Brazil
1985-06-01,24.921,0.339,Acre,Brazil
1985-07-01,25.032,0.336,Acre,Brazil
1985-08-01,25.489,1.122,Acre,Brazil
1985-09-01,26.179,0.39,Acre,Brazil
1985-10-01,26.928,0.326,Acre,Brazil
1985-11-01,26.418,0.219,Acre,Brazil
1985-12-01,26.416,0.45,Acre,Brazil
1986-01-01,26.251,0.31,Acre,Brazil
1986-02-01,25.683,0.493,Acre,Brazil
1986-03-01,25.788,0.292,Acre,Brazil
1986-04-01,26.302,0.536,Acre,Brazil
1986-05-01,26.3,0.353,Acre,Brazil
1986-06-01,26.149,0.413,Acre,Brazil
1986-07-01,25.229,0.995,Acre,Brazil
1986-08-01,26.289,0.48,Acre,Brazil
1986-09-01,26.435,0.244,Acre,Brazil
1986-10-01,26.993,0.643,Acre,Brazil
1986-11-01,26.709,0.28,Acre,Brazil
1986-12-01,26.709,0.278,Acre,Brazil
1987-01-01,26.265,0.237,Acre,Brazil
1987-02-01,26.423,0.303,Acre,Brazil
1987-03-01,26.794,0.321,Acre,Brazil
1987-04-01,26.358,0.246,Acre,Brazil
1987-05-01,25.809,0.42,Acre,Brazil
1987-06-01,25.144,0.652,Acre,Brazil
1987-07-01,26.406,0.249,Acre,Brazil
1987-08-01,26.144,0.613,Acre,Brazil
1987-09-01,27.441,0.446,Acre,Brazil
1987-10-01,27.98,0.461,Acre,Brazil
1987-11-01,26.946,0.372,Acre,Brazil
1987-12-01,26.793,0.236,Acre,Brazil
1988-01-01,26.722,0.24,Acre,Brazil
1988-02-01,26.845,0.455,Acre,Brazil
1988-03-01,27.155,0.282,Acre,Brazil
1988-04-01,26.491,0.342,Acre,Brazil
1988-05-01,25.641,0.39,Acre,Brazil
1988-06-01,24.736,0.411,Acre,Brazil
1988-07-01,24.15,1.165,Acre,Brazil
1988-08-01,26.631,0.752,Acre,Brazil
1988-09-01,27.318,0.31,Acre,Brazil
1988-10-01,27.298,0.183,Acre,Brazil
1988-11-01,26.648,0.352,Acre,Brazil
1988-12-01,26.616,0.604,Acre,Brazil
1989-01-01,25.915,0.71,Acre,Brazil
1989-02-01,26.006,0.541,Acre,Brazil
1989-03-01,25.549,0.685,Acre,Brazil
1989-04-01,25.415,0.65,Acre,Brazil
1989-05-01,25.223,0.536,Acre,Brazil
1989-06-01,25.394,0.283,Acre,Brazil
1989-07-01,24.771,0.63,Acre,Brazil
1989-08-01,26.467,0.527,Acre,Brazil
1989-09-01,26.637,0.691,Acre,Brazil
1989-10-01,26.699,0.417,Acre,Brazil
1989-11-01,26.934,0.351,Acre,Brazil
1989-12-01,26.698,0.871,Acre,Brazil
1990-01-01,25.881,0.297,Acre,Brazil
1990-02-01,26.115,0.687,Acre,Brazil
1990-03-01,26.323,0.339,Acre,Brazil
1990-04-01,25.866,0.634,Acre,Brazil
1990-05-01,25.832,0.687,Acre,Brazil
1990-06-01,24.892,0.462,Acre,Brazil
1990-07-01,24.181,0.625,Acre,Brazil
1990-08-01,26.39,0.79,Acre,Brazil
1990-09-01,26.76,0.904,Acre,Brazil
1990-10-01,27.333,0.377,Acre,Brazil
1990-11-01,26.605,0.262,Acre,Brazil
1990-12-01,26.31,0.246,Acre,Brazil
1991-01-01,26.799,0.442,Acre,Brazil
1991-02-01,26.776,0.308,Acre,Brazil
1991-03-01,26.747,0.37,Acre,Brazil
1991-04-01,26.512,0.623,Acre,Brazil
1991-05-01,26.669,0.336,Acre,Brazil
1991-06-01,25.712,0.326,Acre,Brazil
1991-07-01,25.247,0.499,Acre,Brazil
1991-08-01,25.604,0.482,Acre,Brazil
1991-09-01,27.1,0.327,Acre,Brazil
1991-10-01,26.888,0.449,Acre,Brazil
1991-11-01,26.398,0.607,Acre,Brazil
1991-12-01,27.258,0.378,Acre,Brazil
1992-01-01,27.116,0.333,Acre,Brazil
1992-02-01,27.102,0.904,Acre,Brazil
1992-03-01,27.029,0.737,Acre,Brazil
1992-04-01,27.038,0.568,Acre,Brazil
1992-05-01,27.561,0.479,Acre,Brazil
1992-06-01,27.007,0.513,Acre,Brazil
1992-07-01,24.024,0.69,Acre,Brazil
1992-08-01,26.172,0.379,Acre,Brazil
1992-09-01,26.439,0.473,Acre,Brazil
1992-10-01,27.163,0.506,Acre,Brazil
1992-11-01,26.528,0.358,Acre,Brazil
1992-12-01,26.426,0.466,Acre,Brazil
1993-01-01,25.941,0.233,Acre,Brazil
1993-02-01,26.266,0.511,Acre,Brazil
1993-03-01,26.434,0.134,Acre,Brazil
1993-04-01,26.277,0.253,Acre,Brazil
1993-05-01,26.434,0.374,Acre,Brazil
1993-06-01,25.753,0.253,Acre,Brazil
1993-07-01,24.906,0.457,Acre,Brazil
1993-08-01,25.287,0.544,Acre,Brazil
1993-09-01,26.819,0.145,Acre,Brazil
1993-10-01,27.257,0.149,Acre,Brazil
1993-11-01,26.667,0.292,Acre,Brazil
1993-12-01,26.517,0.221,Acre,Brazil
1994-01-01,26.354,0.378,Acre,Brazil
1994-02-01,26.01,0.376,Acre,Brazil
1994-03-01,26.885,0.357,Acre,Brazil
1994-04-01,26.581,0.365,Acre,Brazil
1994-05-01,26.799,0.253,Acre,Brazil
1994-06-01,25.818,0.358,Acre,Brazil
1994-07-01,25.236,0.699,Acre,Brazil
1994-08-01,26.901,0.431,Acre,Brazil
1994-09-01,27.589,0.431,Acre,Brazil
1994-10-01,27.31,0.17,Acre,Brazil
1994-11-01,27.095,0.257,Acre,Brazil
1994-12-01,26.562,0.31,Acre,Brazil
1995-01-01,27.084,0.444,Acre,Brazil
1995-02-01,26.576,0.301,Acre,Brazil
1995-03-01,26.451,0.265,Acre,Brazil
1995-04-01,26.388,0.324,Acre,Brazil
1995-05-01,25.694,0.554,Acre,Brazil
1995-06-01,25.717,0.598,Acre,Brazil
1995-07-01,26.616,0.79,Acre,Brazil
1995-08-01,26.879,0.521,Acre,Brazil
1995-09-01,27.417,0.531,Acre,Brazil
1995-10-01,27.501,0.189,Acre,Brazil
1995-11-01,27.384,0.331,Acre,Brazil
1995-12-01,26.645,0.402,Acre,Brazil
1996-01-01,25.64,0.668,Acre,Brazil
1996-02-01,26.333,0.212,Acre,Brazil
1996-03-01,26.535,0.255,Acre,Brazil
1996-04-01,26.254,0.216,Acre,Brazil
1996-05-01,26.396,0.236,Acre,Brazil
1996-06-01,24.485,0.464,Acre,Brazil
1996-07-01,25.242,0.528,Acre,Brazil
1996-08-01,26.737,0.351,Acre,Brazil
1996-09-01,26.978,0.386,Acre,Brazil
1996-10-01,27.16,0.689,Acre,Brazil
